code,group,sub_group,parent,type,name,url,provider,available,quantity,performance,hours_day,uom_id,price
895,,,2.18,5,CABLE TIERRA ESPECIAL 25 MTS,,,1,0.16,,,PZA,0.71875
2.19,,,,2,Fabricación y montaje de bastones para anclaje cabilla A. Inox ¾”,,,,160,50,8,PZA,
141,,,2.19,4,FABRICADOR 1RA,,,1,0.16,,,Horas,1.4425
2,,,2.19,4,AYUDANTE,,,2,0.32,,,Horas,1.04625
501,,,2.19,4,PLANIFICADOR,,,0.13,2.07999992370605E-02,,,Horas,2.3325
502,,,2.19,4,SUPERVISOR DE SEGURIDAD,,,0.25,0.04,,,Horas,2.3325
533,,,2.19,4,CAPATAZ,,,0.5,0.08,,,Horas,2.0625
69,,,2.19,4,SOLDADOR DE 1RA,,,1,0.16,,,Horas,1.3775
1007,,,2.19,5,EXTENSION ELECTRICA 100 MTS,,,1,0.16,,,PZA,0.15625
1049,,,2.19,5,CABLE PINZA 25 MTRS,,,1,0.16,,,PZA,0.71875
1138,,,2.19,5,EXTENSION 440 VOLTS ,,,1,0.16,,,PZA,0.5
1163,,,2.19,5,CARETA FACIAL,,,1,0.16,,,PZA,0.125
202,,,2.19,5,CARETA PARA SOLDAR CON VISERA,,,1,0.16,,,PZA,0.0625
293,,,2.19,5,"ESMERIL DE 7""",,,1,0.16,,,PZA,0.51125
295,,,2.19,5,SOLDADORA 225 AMP 110/220V,,,1,0.16,,,PZA,3.125
895,,,2.19,5,CABLE TIERRA ESPECIAL 25 MTS,,,1,0.16,,,PZA,0.71875
2.20,,,,2,Desmontaje de tuberías sopladoras de bagazo,,,,12,60,8,PZA,
141,,,2.20,4,FABRICADOR 1RA,,,1,0.133333333333333,,,Horas,1.4425
2,,,2.20,4,AYUDANTE,,,1,0.133333333333333,,,Horas,1.04625
501,,,2.20,4,PLANIFICADOR,,,0.13,1.73333326975505E-02,,,Horas,2.3325
502,,,2.20,4,SUPERVISOR DE SEGURIDAD,,,0.25,3.33333333333333E-02,,,Horas,2.3325
533,,,2.20,4,CAPATAZ,,,0.5,6.66666666666667E-02,,,Horas,2.0625
1007,,,2.20,5,EXTENSION ELECTRICA 100 MTS,,,1,0.133333333333333,,,PZA,0.15625
1086,,,2.20,5,MECATE,,,20,2.66666666666667,,,PZA,0.01625
1127,,,2.20,5,ILUMINACION PROVISIONAL (REFLECTOR),,,1,0.133333333333333,,,PZA,0.1875
432,,,2.20,5,EQUIPO DE OXIACETILENO C/ACCESORIOS,,,1,0.133333333333333,,,PZA,1
666,,,2.20,5,CARRUCHA DE 2 RUEDAS,,,1,0.133333333333333,,,PZA,0.325
2.21,,,,2,Fabricación y montaje de tuberías sopladoras de bagazo (alineando según plano),,,,12,30,8,PZA,
141,,,2.21,4,FABRICADOR 1RA,,,1,0.266666666666667,,,Horas,1.4425
2,,,2.21,4,AYUDANTE,,,1,0.266666666666667,,,Horas,1.04625
501,,,2.21,4,PLANIFICADOR,,,0.13,3.46666653951009E-02,,,Horas,2.3325
502,,,2.21,4,SUPERVISOR DE SEGURIDAD,,,0.25,6.66666666666667E-02,,,Horas,2.3325
533,,,2.21,4,CAPATAZ,,,0.5,0.133333333333333,,,Horas,2.0625
69,,,2.21,4,SOLDADOR DE 1RA,,,0.25,6.66666666666667E-02,,,Horas,1.3775
1007,,,2.21,5,EXTENSION ELECTRICA 100 MTS,,,1,0.266666666666667,,,PZA,0.15625
1049,,,2.21,5,CABLE PINZA 25 MTRS,,,0.25,6.66666666666667E-02,,,PZA,0.71875
1127,,,2.21,5,ILUMINACION PROVISIONAL,,,1,0.266666666666667,,,PZA,0.1875
1138,,,2.21,5,EXTENSION 440 VOLTS ,,,0.25,6.66666666666667E-02,,,PZA,0.5
1416,,,2.21,5,MANDARRIA 2 KG,,,1,0.266666666666667,,,PZA,0.10625
202,,,2.21,5,CARETA PARA SOLDAR CON VISERA,,,0.25,6.66666666666667E-02,,,PZA,0.0625
295,,,2.21,5,SOLDADORA 225 AMP 110/220V,,,0.25,6.66666666666667E-02,,,PZA,3.125
432,,,2.21,5,EQUIPO DE OXIACETILENO C/ACCESORIOS,,,0.5,0.133333333333333,,,PZA,1
666,,,2.21,5,CARRUCHA DE 2 RUEDAS,,,0.5,0.133333333333333,,,PZA,0.325
2.22,,,,2,"Aplicación de soldadura 6010, 7018 de 1/8"" en tubería sopladora de
bagazo",,,,10,14,8,ML,
2,,,2.22,4,AYUDANTE,,,2,1.14285714285714,,,Horas,1.04625
501,,,2.22,4,PLANIFICADOR,,,0.13,7.42857115609305E-02,,,Horas,2.3325
502,,,2.22,4,SUPERVISOR DE SEGURIDAD,,,0.25,0.142857142857143,,,Horas,2.3325
533,,,2.22,4,CAPATAZ,,,0.5,0.285714285714286,,,Horas,2.0625
69,,,2.22,4,SOLDADOR DE 1RA,,,1,0.571428571428571,,,Horas,1.3775
1007,,,2.22,5,EXTENSION ELECTRICA 100 MTS,,,1,0.571428571428571,,,ML,0.15625
1049,,,2.22,5,CABLE PINZA 25 MTRS,,,1,0.571428571428571,,,ML,0.71875
1138,,,2.22,5,EXTENSION 440 VOLTS ,,,1,0.571428571428571,,,ML,0.5
1163,,,2.22,5,CARETA FACIAL,,,1,0.571428571428571,,,ML,0.125
202,,,2.22,5,CARETA PARA SOLDAR CON VISERA,,,1,0.571428571428571,,,ML,0.0625
247,,,2.22,5,PIQUETA BELLOTA 5932-A,,,1,0.571428571428571,,,ML,0.09875
293,,,2.22,5,"ESMERIL DE 7""",,,1,0.571428571428571,,,ML,0.51125
295,,,2.22,5,SOLDADORA 225 AMP 110/220V,,,1,0.571428571428571,,,ML,3.125
895,,,2.22,5,CABLE TIERRA ESPECIAL 25 MTS,,,1,0.571428571428571,,,ML,0.71875
2.23,,,,2,Montaje de losetas refractarias,,,,1050,50,8,PZA,
125,,,2.23,4,ALBAÑIL REFRACTARIO,,,2,0.32,,,Horas,1.4425
2,,,2.23,4,AYUDANTE,,,4,0.64,,,Horas,1.04625
