code,group,sub_group,parent,type,name,url,provider,available,quantity,performance,hours_day,uom_id,price,day_price,
000307,,,1.11,4,AYUDANTE,,,1.0,0.014706,,,Dias,1.1913,9.53,
007861,,,1.11,5,MONTACARGAS 3TON / SIN OPERADOR,,,0.05,0.000735,,,Unidades,5.625,45.0,
007864,,,1.11,5,CILINDRADORA DAVI,,,1.0,0.014706,,,Unidades,35.0,280.0,
1.12,,,1,2,Preparacion de Superficies con Convertidor de Oxido.,,,,1.0,100.058,8,m2,,,
002575,,,1.12,4,PLANIFICADOR,,,0.13,0.010394,,,Dias,2.4963,19.97,
003014,,,1.12,4,SUPERVISOR DE SEGURIDAD,,,0.25,0.019988,,,Dias,2.4963,19.97,
000767,,,1.12,4,CAPATAZ,,,0.5,0.039977,,,Dias,2.2075,17.66,
000307,,,1.12,4,AYUDANTE,,,2.0,0.159907,,,Dias,1.1913,9.53,
008138,,,1.12,5,TOBO DE ALBAÑILERIA,,,2.5,0.199884,,,Unidades,0.0188,0.15,
004746,,,1.12,5,KIT DE HERRAMIENTAS MENORES,,,2.0,0.159907,,,Unidades,0.2625,2.1,
1.13,,,1,2,Limpieza Mecánica Manual en Superficies Metalicas de Acero al Carbono.,,,,1.0,70.0,8,m2,,,
002575,,,1.13,4,PLANIFICADOR,,,0.13,0.014857,,,Dias,2.4963,19.97,
003014,,,1.13,4,SUPERVISOR DE SEGURIDAD,,,0.25,0.028571,,,Dias,2.4963,19.97,
000767,,,1.13,4,CAPATAZ,,,0.5,0.057143,,,Dias,2.2075,17.66,
000307,,,1.13,4,AYUDANTE,,,2.0,0.228571,,,Dias,1.1913,9.53,
004570,,,1.13,5,EXTENSION ELECTRICA-ESTANDAR,,,1.0,0.114286,,,Unidades,0.1713,1.37,
004561,,,1.13,5,ESMERIL  4.1/2´´-VARIOS,,,2.0,0.228571,,,Unidades,0.3438,2.75,
1.14,,,1,2,Limpieza Mecánica SSPC-SP-6 NACE-1 (Sandblasting),,,,1.0,50.064,8,m2,,,
002575,,,1.14,4,PLANIFICADOR,,,0.13,0.020773,,,Dias,2.4963,19.97,
003014,,,1.14,4,SUPERVISOR DE SEGURIDAD,,,0.25,0.039949,,,Dias,2.4963,19.97,
000767,,,1.14,4,CAPATAZ,,,0.5,0.079898,,,Dias,2.2075,17.66,
002870,,,1.14,4,SANDBLACISTA,,,1.0,0.159795,,,Dias,2.0613,16.49,
000307,,,1.14,4,AYUDANTE,,,2.0,0.319591,,,Dias,1.1913,9.53,
004547,,,1.14,5,COMPRESOR DE AIRE-375 CFM,,,0.8,0.127836,,,Unidades,25.0,200.0,
004559,,,1.14,5,EQUIPO DE SAND BLASTING-KIT BASICO PARA LABORES DE ARENADO,,,1.0,0.159795,,,Unidades,11.25,90.0,
000296,,,1.14,3,ARENA SILICE A GRANEL (TONELADA),,,1.0,0.0096,,,t,286.0,,
002581,,,1.14,3,PLASTICO NEGRO FERRETERO,,,1.0,0.008,,,Pza,5.2054,,
1.15,,,1,2,Aplicacion de Pintura o Fondo Manual en Estructuras Metalicas. (Una Capa EPS 1-2 mils).,,,,1.0,60.0,8,m2,,,
002575,,,1.15,4,PLANIFICADOR,,,0.13,0.017333,,,Dias,2.4963,19.97,
003014,,,1.15,4,SUPERVISOR DE SEGURIDAD,,,0.25,0.033333,,,Dias,2.4963,19.97,
000767,,,1.15,4,CAPATAZ,,,0.5,0.066667,,,Dias,2.2075,17.66,
000307,,,1.15,4,AYUDANTE,,,2.0,0.266667,,,Dias,1.1913,9.53,
004746,,,1.15,5,KIT DE HERRAMIENTAS MENORES,,,2.5,0.333333,,,Unidades,0.2625,2.1,
1.16,,,1,2,Aplicacion de Pintura o Fondo con Equipo en Estructuras Metalicas. (Una Capa EPS 1-2 mils).,,,,1.0,140.0,8,m2,,,
002575,,,1.16,4,PLANIFICADOR,,,0.13,0.007429,,,Dias,2.4963,19.97,
003014,,,1.16,4,SUPERVISOR DE SEGURIDAD,,,0.25,0.014286,,,Dias,2.4963,19.97,
000767,,,1.16,4,CAPATAZ,,,0.5,0.028571,,,Dias,2.2075,17.66,
002479,,,1.16,4,PINTOR,,,1.0,0.057143,,,Dias,1.5688,12.55,
000307,,,1.16,4,AYUDANTE,,,1.0,0.057143,,,Dias,1.1913,9.53,
004547,,,1.16,5,COMPRESOR DE AIRE-375 CFM,,,0.84,0.048,,,Unidades,25.0,200.0,
004558,,,1.16,5,EQUIPO DE PINTURA ESTÁNDAR BAJA-PISTOLA DE CARGA POR SUCCION O GRAVEDAD, MAS CALDERIN,,,1.0,0.057143,,,Unidades,2.0,16.0,
2,,,,1,PARTIDAS TABULADAS PARA ANDAMIOS,,,,,,,,,,
2.1,,,2,2,ARMADO DE ANDAMIOS TIPO TIJERAS,,,,1.0,18.0,8,CUERPO,,,
002575,,,2.1,4,PLANIFICADOR,,,0.13,0.057778,,,Dias,2.4963,19.97,
003014,,,2.1,4,SUPERVISOR DE SEGURIDAD,,,0.25,0.111111,,,Dias,2.4963,19.97,
000767,,,2.1,4,CAPATAZ,,,0.5,0.222222,,,Dias,2.2075,17.66,
000141,,,2.1,4,ANDAMIERO,,,1.0,0.444444,,,Dias,1.5688,12.55,
000307,,,2.1,4,AYUDANTE,,,2.0,0.888889,,,Dias,1.1913,9.53,
004687,,,2.1,5,JUEGO LLAVES COMBINADAS PULG 14 PZA,,,1.0,0.444444,,,Unidades,0.161,1.29,
004817,,,2.1,5,KIT DE ESLINGAS PARA IZAMIENTO,,,1.0,0.444444,,,Unidades,0.25,2.0,
